Zone#,PD,Population,Work General,Work Manufacturing,Work Professional,Work Retail,Work Unknown,Employment,Employment General,Employment Manufacturing,Employment Professional,Employment Retail,Employment Unknown,X,Y,Internal Distance,Retail Level,Other Level,Work Level,Internal Density,Parking Cost,Artirial Percentage
2656,32,1153.77,0,0,0,0,0,0,0,0,0,0,0,607524,4862344,341.1662189,0,0,0,0,0,0
2657,32,175.02,0,0,0,0,0,0,0,0,0,0,0,607897,4861331,300.1463069,0,0,0,0,0,0
2658,32,26.78,0,0,0,0,0,0,0,0,0,0,0,609208,4861897,372.8053931,0,0,0,0,0,0
2659,32,4859.13,0,0,0,0,0,0,0,0,0,0,0,608373,4862319,340.322641,0,0,0,0,0,0
2660,32,226.14,0,0,0,0,0,0,0,0,0,0,0,613964,4863523,692.6326788,0,0,0,0,0,0
2661,32,597.91,0,0,0,0,0,0,0,0,0,0,0,612975,4869232,940.1077952,0,0,0,0,0,0
2662,32,2115.79,0,0,0,0,0,0,0,0,0,0,0,610811,4872838,761.8369066,0,0,0,0,0,0
2663,32,111.83,0,0,0,0,0,0,0,0,0,0,0,611023,4876131,346.731965,0,0,0,0,0,0
2664,32,1778.92,0,0,0,0,0,0,0,0,0,0,0,616179,4880584,996.036869,0,0,0,0,0,0
2665,32,77.4,0,0,0,0,0,0,0,0,0,0,0,618109,4885597,410.7574304,0,0,0,0,0,0
2666,32,1822.92,0,0,0,0,0,0,0,0,0,0,0,617382,4873730,1105.233434,0,0,0,0,0,0
2667,32,1135.23,0,0,0,0,0,0,0,0,0,0,0,618965,4868448,898.5524315,0,0,0,0,0,0
2668,32,28.94,0,0,0,0,0,0,0,0,0,0,0,616005,4863870,318.0009609,0,0,0,0,0,0
2669,32,1078.15,0,0,0,0,0,0,0,0,0,0,0,617512,4865582,351.6911129,0,0,0,0,0,0
2670,32,568.53,0,0,0,0,0,0,0,0,0,0,0,617700,4864186,310.8412421,0,0,0,0,0,0
2671,32,1638.66,0,0,0,0,0,0,0,0,0,0,0,618595,4865681,335.360544,0,0,0,0,0,0
2672,32,2596.05,0,0,0,0,0,0,0,0,0,0,0,618984,4864938,295.2965082,0,0,0,0,0,0
2673,32,0,0,0,0,0,0,0,0,0,0,0,0,621828,4866140,301.4455912,0,0,0,0,0,0
2674,32,0,0,0,0,0,0,0,0,0,0,0,0,620454,4866595,335.5298463,0,0,0,0,0,0
2701,30,173.45,0,0,0,0,0,0,0,0,0,0,0,630153,4867600,688.8862186,0,0,0,0,0,0
2702,30,2354.55,0,0,0,0,0,0,0,0,0,0,0,629272,4873278,561.6988369,0,0,0,0,0,0
2703,30,56.08,0,0,0,0,0,0,0,0,0,0,0,628396,4878615,726.7206211,0,0,0,0,0,0
2704,30,2760.42,0,0,0,0,0,0,0,0,0,0,0,633642,4879956,1139.01017,0,0,0,0,0,0
2705,30,815.71,0,0,0,0,0,0,0,0,0,0,0,632509,4873932,686.6257269,0,0,0,0,0,0
2706,30,537.12,0,0,0,0,0,0,0,0,0,0,0,633873,4868674,825.1025189,0,0,0,0,0,0
2707,30,145.56,0,0,0,0,0,0,0,0,0,0,0,636301,4868551,397.5343451,0,0,0,0,0,0
2708,30,5196.89,0,0,0,0,0,0,0,0,0,0,0,638968,4869840,351.8519654,0,0,0,0,0,0
2709,30,3883.55,0,0,0,0,0,0,0,0,0,0,0,638824,4869396,322.1444638,0,0,0,0,0,0
2710,30,11610.03,0,0,0,0,0,0,0,0,0,0,0,641029,4869984,306.2718019,0,0,0,0,0,0
2711,30,1233.25,0,0,0,0,0,0,0,0,0,0,0,640033,4870597,207.1135625,0,0,0,0,0,0
2712,30,4267.68,0,0,0,0,0,0,0,0,0,0,0,641022,4870662,224.9197388,0,0,0,0,0,0
2713,30,5554.4,0,0,0,0,0,0,0,0,0,0,0,642169,4870524,202.6542622,0,0,0,0,0,0
2714,30,464.51,0,0,0,0,0,0,0,0,0,0,0,641924,4871245,190.4164296,0,0,0,0,0,0
2715,30,711.47,0,0,0,0,0,0,0,0,0,0,0,639158,4873090,643.3797047,0,0,0,0,0,0
2716,30,192.16,0,0,0,0,0,0,0,0,0,0,0,637577,4873872,528.3804658,0,0,0,0,0,0
2717,30,2746.69,0,0,0,0,0,0,0,0,0,0,0,637279,4876962,635.3243703,0,0,0,0,0,0
2718,30,2372.4,0,0,0,0,0,0,0,0,0,0,0,637034,4878147,565.9007078,0,0,0,0,0,0
2751,26,1107.8,0,0,0,0,0,0,0,0,0,0,0,619360,4880364,126.850415,0,0,0,0,0,0
2752,26,643.8,0,0,0,0,0,0,0,0,0,0,0,621279,4880960,93.93141706,0,0,0,0,0,0
2753,26,113.12,0,0,0,0,0,0,0,0,0,0,0,620902,4881468,382.3779399,0,0,0,0,0,0
2754,26,311.34,0,0,0,0,0,0,0,0,0,0,0,620456,4883328,259.2918776,0,0,0,0,0,0
2755,26,2154.03,0,0,0,0,0,0,0,0,0,0,0,619482,4885518,345.4214013,0,0,0,0,0,0
